method,iterations,time,residual,fitness,cond_num
M-norm,20,0.09817624092102051,1299.3602371660852,0.9729254545066448,5.463064232245843
M-norm,21,0.1032102108001709,1299.310241270549,0.97292649626251,5.463802063552813
M-norm,22,0.10817122459411621,1238.5583834361996,0.974192372261863,5.463733331564243
M-norm,23,0.11302947998046875,1238.4358315181832,0.9741949258550734,5.461951645976196
M-norm,24,0.11761927604675293,1238.3556491907007,0.9741965966004226,5.461048759301972
M-norm,25,0.12222909927368164,1238.2969381742935,0.9741978199517606,5.460380007820539
M-norm,26,0.12743306159973145,1238.2577174568007,0.9741986371870966,5.459849885086533
M-norm,27,0.13234949111938477,1238.2322505783045,0.9741991678360581,5.459420074592097
M-norm,28,0.13698148727416992,1238.215949893979,0.9741995074906101,5.4590689729305595
M-norm,29,0.14252853393554688,1238.2056333277358,0.9741997224551243,5.458781340066401
M-norm,30,0.14718055725097656,1238.1991790685101,0.9741998569414123,5.458545380095478
M-norm,31,0.1524803638458252,1238.1951941792793,0.9741999399738629,5.458351652071053
M-norm,32,0.15793228149414062,1202.374266394596,0.9749463344772347,5.471758106749941
M-norm,33,0.16260337829589844,1202.2981792419753,0.9749479198921306,5.470493915106239
M-norm,34,0.16731929779052734,1202.2652531754468,0.9749486059669085,5.469714405346881
M-norm,35,0.1726233959197998,1202.2435822867924,0.9749490575194834,5.469220658865544
M-norm,36,0.17807745933532715,1202.2262230165657,0.9749494192316075,5.468851903333788
M-norm,37,0.1828162670135498,1202.2116291028774,0.9749497233224738,5.468546661451014
M-norm,38,0.18739819526672363,1202.1992341962293,0.974949981593009,5.468279763439213
M-norm,39,0.19245338439941406,1202.1886812998634,0.9749502014818933,5.468039970568372
M-norm,40,0.19739651679992676,1202.1796894568877,0.9749503888433768,5.467821616118347
M-norm,41,0.20227956771850586,1202.1720244988228,0.974950548556788,5.467621406237843
M-norm,42,0.20682883262634277,1202.1654884968448,0.9749506847463356,5.4674371438939735
M-norm,43,0.211411714553833,1202.159913512113,0.9749508009113323,5.467267192599761
M-norm,44,0.21601557731628418,1202.1551568736982,0.9749509000245878,5.467110235617809
M-norm,45,0.2205338478088379,1202.1510973110564,0.9749509846129955,5.466965159152837
M-norm,46,0.2260596752166748,1202.1476317079894,0.9749510568251698,5.466830990839158
M-norm,47,0.23103952407836914,1202.1446723579259,0.9749511184886375,5.466706864640759
M-norm,48,0.23603367805480957,1202.14214463805,0.9749511711583012,5.466591999278653
M-norm,49,0.2410588264465332,1202.1399850372488,0.9749512161575311,5.466485684045666
M-norm,50,0.24575066566467285,1202.1381394838247,0.97495125461301,5.466387268885971
M-norm,51,0.25072789192199707,1202.1365619272858,0.974951287484284,5.466296157057352
M-norm,52,0.25573301315307617,1202.1352131354338,0.9749513155888274,5.466211799425851
M-norm,53,0.2609591484069824,1202.1340596738405,0.974951339623308,5.466133689836977
